name,activity,governorate,phone
SOTULAIFROM,"Laiteries, fromageries et yaourterie.",Bizerte,(216) - 71 325 226
SOTUMEX,Conditionnement et entreposage frigorifique de fruits et de légumes.,Tozeur,(216) - 76 430 433 / 76 430 533
SOTUMIS,Meunerie - Travail des grains (semoulerie ).,Gabes,(216) - 71 390 343 / 27 399 035
SOTUMIS  LE PALMIER,Meunerie - Industries alimentaires n.c.a..,Tunis,(216) - 71 390 343
SOTUPAP,Aliments pour animaux de ferme.,Monastir,(216) - 36 405 882 / 73 401 004
SOUAD,"Pâtisserie - Biscotterie, biscuiterie, pâtisserie de conservation.",Sfax,(216) - 70 686 999 / 74 274 808
SOUAD FRIGORIFIQUE,Conditionnement et entreposage frigorifique de fruits et de légumes.,Siliana,(216) - 98 286 864
SOUTH DATTES,Conditionnement et entreposage frigorifique de fruits et de légumes.,Tozeur,(216) - 26 104 601
SOUTH ORGANIC,Conditionnement et entreposage frigorifique de fruits et de légumes.,Kebili,(216) - 27 411 045 / 75 493 790
SOZARE,Conditionnement et entreposage frigorifique de fruits et de légumes.,Nabeul,(216) - 72 294 440
SOZEC,Eaux de table (minérales ).,Zaghouan,(216) - 73 227 907
SPIC PAPAGALLO,"Biscotterie, biscuiterie, pâtisserie de conservation.",Kairouan,(216) - 55 127 435 / 77 271 049
SPIPA,"Margarine - Sucrerie - Chocolaterie, confiserie - Transformation  du café et du thé - Industries alimentaires n.c.a..",Tunis,(216) - 71 772 800
SPPAS,Travail des grains (semoulerie ) - Industries alimentaires n.c.a..,Sfax,(216) - 74 287 745
SRF,Conditionnement et entreposage frigorifique de fruits et de légumes.,Kairouan,(216) - 97 294 807 / 98 688 952
SRP,"Transformation, conservation, congélation et surgélation poisson et fruits de mer.",Monastir,(216) - 98 210 583 / 73 561 350
SSAA CHEMTOU,Huiles d'olives et conditionnement.,Jendouba,(216) - 53 324 478 / 95 242 909
STBG,Boissons rafraîchissantes.,Ben Arous,(216) - 71 434 880
STBO,Eaux de table (minérales ) - Boissons rafraîchissantes.,Kasserine,(216) - 77 470 689
STC (BEN AROUS),Sucrerie.,Ben Arous,(216) - 71 384 118
STC (KOUTINE),Eaux de table (minérales ).,Medenine,(216) - 29 555 910 / 75 610 485
STCA (MORNAG),Huiles et graisses brutes - Huiles d'olives et conditionnement.,Ben Arous,(216) - 79 350 170 / 71 300 892
STE,Boulangerie - Pâtisserie.,Sousse,(216) - 58 573 851
STE DE TRANSFORMATION DE,Huiles d'olives et conditionnement.,Nabeul,(216) - 20 244 620
STIAL (SOLIMAN),"Laiteries, fromageries et yaourterie.",Nabeul,(216) - 71 964 445 / 72 290 153
STICAP,Transformation et conservation de tomates - Conservation et semi-conservation d'autres légumes - Transformation et conservation de fruits et légumes - Huiles d'olives et conditionnement.,Nabeul,(216) - 72 294 083
STIF,"Laiteries, fromageries et yaourterie.",Sousse,(216) - 73 308 288
STIFEN FRUIT,Transformation et conservation de fruits et légumes.,Nabeul,(216) - 71 156 000 / 72 337 257
