name,activity,governorate,phone
A.A.F COMMUNICATION,"Fils, câbles isolés et faisceaux de câbles.",Sousse,(216) - 36 204 600 / 73 399 035
A.A.F PRODUCTION,"Fils, câbles isolés et faisceaux de câbles.",Sousse,(216) - 36 204 600 / 36 204 600
ACS (GROMBALIA),"Fils, câbles isolés et faisceaux de câbles.",Nabeul,(216) - 72 214 076
ACST,Matériel de distribution et commande électrique.,Bizerte,(216) - 72 492 350
ACTIA TUNISIE,Matériel de distribution et commande électrique - Instruments de mesure et de contrôle.,Ariana,(216) - 71 941 933
ADELEC INDUSTRIE,Composants électroniques.,Ariana,(216) - 70 106 200
AEC WIRING TECHNOLOGY,"Fils, câbles isolés et faisceaux de câbles.",Ben Arous,(216) - 31 303 380
AFC INDUSTRIE,"Fils, câbles isolés et faisceaux de câbles.",Ben Arous,(216) - 79 408 542
AGET,Matériel de distribution et commande électrique.,Ariana,(216) - 71 941 515 / 71 942 858
AGILINK SERVICES TUNIS,"Fils, câbles isolés et faisceaux de câbles.",Ben Arous,(216) - 79 398 066
AGT,,Sfax,(216) - 98 747 530 / 74 211 340
AMEN,Matériel de distribution et commande électrique.,Nabeul,(216) - 98 729 546
AMMEL II,Composants électroniques.,Sousse,(216) - 73 253 668
AMPHENOLTUNISIA,"Fils, câbles isolés et faisceaux de câbles.",Zaghouan,(216) - 72 670 393
AMT,Matériel de distribution et commande électrique.,Sousse,(216) - 53 322 626
AMTT,Composants électroniques.,Beja,(216) - 78 560 001 / 58 511 001
ANT PRECISION TUNISIA,Matériels électriques pour moteurs et véhicules.,Ben Arous,(216) - 95 051 290
APTIV SERVICES TUNISIA,"Matériel de distribution et commande électrique - Fils, câbles isolés et faisceaux de câbles.",Beja,(216) - 31 368 500 / 31 368 658
AQUATEC,Instruments de mesure et de contrôle.,Ben Arous,(216) - 71 448 899
ASEL,Composants électroniques.,Nabeul,(216) - 72 211 686
ASEM,Composants électroniques.,Nabeul,(216) - 22 202 418
ASIND,Accumulateurs et piles électriques.,Ben Arous,(216) - 70 279 380 / 70 279 381
ASSAD (BOUARGOUB),Accumulateurs et piles électriques.,Nabeul,(216) - 71 381 688 / 72 259 166
ASSCAB SRL,"Fils, câbles isolés et faisceaux de câbles.",Mahdia,(216) - 98 432 811
ASTEEL FLASH TUNISIE,Composants électroniques.,Ariana,(216) - 36 066 000
ATEMS,Composants électroniques.,Nabeul,(216) - 72 399 181 / 72 399 414
ATI ELECTRONICS,"Appareils de réception, enregistrement ou reproduction du son et de l'image.",Zaghouan,(216) - 20 491 571 / 72 675 037
ATI SMART & LIGHTING,Appareils d'éclairage.,Zaghouan,(216) - 20 491 571
ATS SOLAR,Appareils ménagers non électriques - Composants électroniques.,Monastir,(216) - 73 525 891
AUTO CABLES TUNISIE,"Fils, câbles isolés et faisceaux de câbles.",Nabeul,(216) - 72 211 618
AUTRONIC,Composants électroniques.,Ben Arous,(216) - 70 022 500
AVO-CARBON TN,Composants électroniques.,Zaghouan,(216) - 58 588 801
AXONE,"Moteurs, génératrices et transformateurs électriques - Fils, câbles isolés et faisceaux de câbles.",Zaghouan,(216) - 72 681 336 / 58 332 095
BBT LIGHTING,Appareils d'éclairage.,Tunis,(216) - 71 976 834 / 26 310 550
BCM (SOUSSE),Instruments de mesure et de contrôle.,Sousse,(216) - 73 244 321 / 27 712 000
BERETTA TUNISIA,"Fils, câbles isolés et faisceaux de câbles.",Ben Arous,(216) - 29 641 566 / 29 275 305
BERTELLI ET PARTNERS TUNISIE,Composants électroniques.,Ben Arous,(216) - 79 396 060
BESTRANSFO,"Moteurs, génératrices et transformateurs électriques.",Zaghouan,(216) - 71 832 440 / 98 192 281
BFR ELECTRIC,Matériel de distribution et commande électrique.,Monastir,(216) - 71 341 715 / 73 595 990
BIEFFE MEDITAL MANUFACTURING,Matériel médicochirurgical et orthopédie.,Manouba,(216) - 71 629 723
BIOSERVICE TUNISIE,Matériel médicochirurgical et orthopédie.,Sousse,(216) - 73 380 252
BISMA CABLE TECHNIC,"Fils, câbles isolés et faisceaux de câbles.",Tunis,(216) - 71 591 888
BM EQUIPMENT,Appareils électroménagers.,Medenine,(216) - 70 083 738
BOMACO,Réparation de matériels électriques.,Tunis,(216) - 71 854 452
BSI,Appareils ménagers non électriques.,Beja,(216) - 78 440 440
BUTITEC,"Fils, câbles isolés et faisceaux de câbles.",Bizerte,(216) - 72 494 257
C2 ETN,"Fils, câbles isolés et faisceaux de câbles.",Zaghouan,(216) - 72 670 940
C2T IMPLANTS,Matériel médicochirurgical et orthopédie.,Sousse,(216) - 31 387 900 / 31 387 901
CABLAGE INTERNATIONAL,"Matériel de distribution et commande électrique - Fils, câbles isolés et faisceaux de câbles.",Sousse,(216) - 73 251 971
CABLE TECH,"Fils, câbles isolés et faisceaux de câbles.",Nabeul,(216) - 72 256 345
CABLISYS TUNISIE,"Fils, câbles isolés et faisceaux de câbles.",Sousse,(216) - 73 342 202 / 73 342 201
CABLIT LAMEC,"Fils, câbles isolés et faisceaux de câbles.",Nabeul,(216) - 29 405 940
CABVAL PH4A,"Fils, câbles isolés et faisceaux de câbles.",Tunis,(216) - 31 404 167
CARTHAGE EYEWEAR INTERNATIONAL,Lunettes.,Sfax,(216) - 29 902 991 / 58 907 990
CASCO AUTOM,Matériel de distribution et commande électrique - Matériels électriques pour moteurs et véhicules.,Bizerte,(216) - 31 352 818
CBL CABLAGGI,"Fils, câbles isolés et faisceaux de câbles.",Bizerte,(216) - 95 009 051 / 72 473 445
CEIT SYSTEMS,"Fils, câbles isolés et faisceaux de câbles.",Ben Arous,(216) - 71 409 199 / 55 256 546
CEM TUNISIE,"Moteurs, génératrices et transformateurs électriques.",Bizerte,(216) - 72 467 401 / 72 468 055
CET,"Fils, câbles isolés et faisceaux de câbles.",Bizerte,(216) - 72 470 755
CHAKIRA CABLE,"Fils, câbles isolés et faisceaux de câbles.",Tunis,(216) - 71 156 000
CIE,Matériel de distribution et commande électrique.,Ben Arous,(216) - 71 962 900 / 71 389 635
CIPI ACTIA,Composants électroniques.,Ariana,(216) - 70 838 115
CMRT,"Fils, câbles isolés et faisceaux de câbles - Composants électroniques.",Ben Arous,(216) - 71 426 978
COELEC,"Fils, câbles isolés et faisceaux de câbles.",Tunis,(216) - 71 937 888
COFAT KAIROUAN,"Fils, câbles isolés et faisceaux de câbles.",Kairouan,(216) - 71 166 000 / 71 156 000
COFAT MATEUR,"Fils, câbles isolés et faisceaux de câbles.",Bizerte,(216) - 71 156 000 / 72 112 000
COFAT(SIDI HASSINE),"Fils, câbles isolés et faisceaux de câbles.",Tunis,(216) - 71 156 000 / 71 591 000
COFEM,"Appareils électroménagers - Appareils de réception, enregistrement ou reproduction du son et de l'image.",Ben Arous,(216) - 79 408 764 / 79 408 788
COFICAB MED,"Fils, câbles isolés et faisceaux de câbles.",Beja,(216) - 71 156 000 / 78 109 500
COFICAB TUNISIE,"Fils, câbles isolés et faisceaux de câbles.",Tunis,(216) - 71 156 000 / 71 156 118
COFITEL,"Matériel de distribution et commande électrique - Fils, câbles isolés et faisceaux de câbles - Composants électroniques.",Ben Arous,(216) - 71 428 593
CONDOR INDUSTRY TUNISIE,Appareils électroménagers - Composants électroniques.,Beja,(216) - 71 409 721
CONECTA,Matériel de distribution et commande électrique.,Nabeul,(216) - 72 290 149
CONNECT,"Matériel de distribution et commande électrique - Fils, câbles isolés et faisceaux de câbles.",Ariana,(216) - 98 221 770 / 71 864 327
CONTACT,Matériel de distribution et commande électrique.,Nabeul,(216) - 58 495 970
COTHERM,Instruments de mesure et de contrôle.,Ben Arous,(216) - 71 454 709 / 71 453 410
CYLALIDE TUNISIE,"Fils, câbles isolés et faisceaux de câbles.",Monastir,(216) - 39 156 840
DACKT INDUSTRY,,Zaghouan,(216) - 93 133 146
DAV TUNISIE,Matériel de distribution et commande électrique.,Ben Arous,(216) - 31 364 100 / 31 364 101
DELFINGEN TN FOUCHANA,"Fils, câbles isolés et faisceaux de câbles.",Ben Arous,(216) - 79 408 435 / 79 408 359
DTC,Composants électroniques.,Ben Arous,(216) - 71 409 122 / 71 409 123
E.C.T.,"Fils, câbles isolés et faisceaux de câbles.",Monastir,(216) - 98 257 153 / 73 414 444
ecs,"Fils, câbles isolés et faisceaux de câbles.",Sousse,(216) - 73 252 576 / 96 011 768
EKM (BEN AROUS),Appareils d'éclairage.,Ben Arous,(216) - 71 384 737
EL ATHIR,Composants électroniques.,Tunis,(216) - 71 904 133
EL COM TUNISIA,"Fils, câbles isolés et faisceaux de câbles.",Zaghouan,(216) - 71 941 882 / 94 264 030
ELEBAS,"Fils, câbles isolés et faisceaux de câbles.",Nabeul,(216) - 72 261 735
ELECTRIC SYSTEMS PRODUCTION & ENGINEERING,"Fils, câbles isolés et faisceaux de câbles.",Monastir,(216) - 56 626 160
ELECTRO CONTACT TUNISIE,"Fils, câbles isolés et faisceaux de câbles.",Monastir,(216) - 70 258 100
ELECTRO CONTACT TUNISIE (BEMBLA),"Fils, câbles isolés et faisceaux de câbles.",Sousse,(216) - 70 258 140 / 98 773 728
ELECTROMED,Appareils électroménagers - Appareils ménagers non électriques - Equipements d'émission et de transmission hertzienne.,Ben Arous,(216) - 71 388 288
ELEONETECH,Composants électroniques.,Bizerte,(216) - 70 102 400 / 29 910 670
ELETTRO B.C.A,Composants électroniques.,Zaghouan,(216) - 22 935 734
ELMAP,Composants électroniques.,Tunis,
ELMEC,Instruments de mesure et de contrôle.,Sousse,(216) - 22 501 001 / 73 810 160
EMECC INDUSTRIES,,Monastir,(216) - 98 386 868
EMKA MED,"Matériel de distribution et commande électrique - Fils, câbles isolés et faisceaux de câbles - Composants électroniques.",Monastir,(216) - 73 519 670
EMS,Composants électroniques.,Manouba,(216) - 70 161 396
EMT (BENI KHALLED),"Fils, câbles isolés et faisceaux de câbles.",Nabeul,(216) - 94 233 700 / 72 372 906
ENAS,Accumulateurs et piles électriques.,Ben Arous,(216) - 70 279 381 / 70 279 380
ENEDO,Composants électroniques.,Tunis,(216) - 29 935 999 / 26 601 193
ENOVE,Accumulateurs et piles électriques.,Zaghouan,(216) - 71 207 100 / 72 675 988
EPITRONIC TUNISIE,"Fils, câbles isolés et faisceaux de câbles.",Ariana,(216) - 70 838 201 / 70 838 230
ERA-CONTACT TUNISIA,"Matériel de distribution et commande électrique - Fils, câbles isolés et faisceaux de câbles.",Bizerte,(216) - 72 451 010
ERT,Matériels électriques pour moteurs et véhicules.,Monastir,(216) - 29 464 100 / 73 414 414
ESSILOR - SIVO,Lunettes.,Sfax,(216) - 74 151 400
ETA,Matériel de distribution et commande électrique.,Sousse,(216) - 73 810 250 / 73 256 284
ETS,Composants électroniques.,Ben Arous,(216) - 71 387 087
ETT (BEN AROUS),Matériels électriques pour moteurs et véhicules - Composants électroniques.,Ben Arous,(216) - 71 387 087
FAUCON,"Fils, câbles isolés et faisceaux de câbles.",Zaghouan,(216) - 70 145 480 / 98 419 298
FAWANIS,Lampes.,Sousse,(216) - 73 322 888 / 73 322 889
FCE,"Fils, câbles isolés et faisceaux de câbles.",Nabeul,(216) - 98 319 217
FEEZ,"Matériel de distribution et commande électrique - Fils, câbles isolés et faisceaux de câbles.",Zaghouan,(216) - 72 680 530
FEINMETALL TUNISIE,Composants électroniques.,Tunis,(216) - 23 281 532
FRACARRO,"Appareils de réception, enregistrement ou reproduction du son et de l'image.",Tunis,(216) - 71 854 430 / 70 168 850
FRANCO,Appareils électroménagers.,Bizerte,(216) - 24 100 501 / 72 400 690
FUBA,Composants électroniques.,Bizerte,(216) - 71 860 244 / 39 140 100
G IND,Instruments de mesure et de contrôle.,Sfax,(216) - 74 672 030
GALAXY NATUREL,Appareils électroménagers.,Sousse,(216) - 73 397 027
GAN (BOUM'HAL),Appareils électroménagers.,Ben Arous,(216) - 79 214 477 / 71 216 803
GD TUNISIE,"Fils, câbles isolés et faisceaux de câbles.",Nabeul,(216) - 98 300 325
GDS,Composants électroniques.,Manouba,(216) - 29 929 915 / 92 647 430
GENERAL CAB MED,Matériels électriques pour moteurs et véhicules.,Beja,(216) - 78 441 661 / 78 441 855
GIE,Matériel de distribution et commande électrique - Lampes.,Tunis,(216) - 71 397 555 / 71 591 226
GIESSE TUNISIE,"Moteurs, génératrices et transformateurs électriques - Matériel de distribution et commande électrique - Fils, câbles isolés et faisceaux de câbles.",Nabeul,(216) - 50 887 441 / 72 393 800
GLOBAL LIGHTING,Lampes.,Kairouan,(216) - 77 302 626
GPE,"Moteurs, génératrices et transformateurs électriques - Accumulateurs et piles électriques.",Ariana,(216) - 71 940 200
GRUNER TUNISIE,Equipements d'émission et de transmission hertzienne.,Manouba,(216) - 70 016 680
GS2I,,Ben Arous,(216) - 29 520 595 / 29 660 820
HALUNG TECHNICS TUNISIE,"Fils, câbles isolés et faisceaux de câbles.",Ben Arous,(216) - 71 409 487 / 71 409 710
HUBER & SUHNER,"Fils, câbles isolés et faisceaux de câbles.",Sousse,(216) - 73 830 911 / 73 830 912
IBL ELECTRONICS TUNISIE,Composants électroniques.,Bizerte,(216) - 72 510 011
IBL PRODUCTION,Composants électroniques.,Bizerte,(216) - 72 510 011
ICE,"Fils, câbles isolés et faisceaux de câbles.",Nabeul,(216) - 53 429 883 / 22 804 800
ICEM,"Fils, câbles isolés et faisceaux de câbles - Composants électroniques.",Nabeul,(216) - 29 631 562
IFRI-SOL,Appareils ménagers non électriques.,Sousse,(216) - 29 533 333
IGL INDUSTRIES,Ordinateurs et autres équipements informatiques.,Sfax,(216) - 22 318 888 / 74 687 899
IMAC ELECTRO,"Fils, câbles isolés et faisceaux de câbles.",Zaghouan,(216) - 31 604 651 / 58 488 619
IMITUNIS,Instruments de mesure et de contrôle.,Ben Arous,(216) - 23 200 401
INTECH,,Monastir,(216) - 28 327 909
INTER SIGN,Appareils d'éclairage.,Ben Arous,(216) - 71 288 000 / 29 306 143
IPSC,Appareils d'éclairage.,Ariana,(216) - 71 940 766 / 26 882 020
ISOSINERGY,Matériels électriques de signalisation.,Monastir,(216) - 21 405 332 / 73 590 206
IXEUS TUNISIE,"Moteurs, génératrices et transformateurs électriques - Instruments de mesure et de contrôle.",Nabeul,(216) - 72 229 656 / 52 838 528
JEMMAL FLOWERS NEW,"Fils, câbles isolés et faisceaux de câbles - Instruments de mesure et de contrôle.",Monastir,(216) - 97 368 161 / 73 486 732
KAB-LEM TUNISIA,"Fils, câbles isolés et faisceaux de câbles.",Bizerte,(216) - 70 556 180
KASCHKE TUNISIE,Composants électroniques.,Nabeul,(216) - 70 241 222 / 92 146 004
KBE,"Fils, câbles isolés et faisceaux de câbles.",Sousse,(216) - 73 322 547
KEB ELECT,Appareils électroménagers.,Nabeul,(216) - 72 239 007
KEI,"Moteurs, génératrices et transformateurs électriques.",Sfax,(216) - 74 488 035 / 74 488 036
KILOWATT INTERNATIONAL,"Fils, câbles isolés et faisceaux de câbles.",Ariana,(216) - 70 694 445 / 58 280 972
KKT & WH-E TUNISIE,"Fils, câbles isolés et faisceaux de câbles.",Sousse,(216) - 23 203 418 / 73 282 410
KOLLEKTOR BIOME BEJA,Appareils ménagers non électriques.,Beja,(216) - 78 440 440 / 78 449 011
KOMAX TESTING TUNISIA,Instruments de mesure et de contrôle.,Tunis,(216) - 71 770 506
KOPP TUNISIE,Matériel de distribution et commande électrique.,Sousse,(216) - 73 323 088
KROMBERG ET SCHUBERT TUNISIE,"Fils, câbles isolés et faisceaux de câbles.",Beja,(216) - 78 108 000
KUFFERATH TUNISIE,"Fils, câbles isolés et faisceaux de câbles.",Tunis,(216) - 55 688 201 / 71 559 434
LA PRATIQUE ELECTRONIQUE,Composants électroniques.,Nabeul,(216) - 23 428 528 / 72 238 550
LA TOLERIE FINE,Appareils d'éclairage.,Manouba,(216) - 71 545 258 / 71 545 977
LABORATOIRE KHOUFI,Matériel médicochirurgical et orthopédie.,Tunis,(216) - 52 623 560
LACROIX ELECTRONIQUE TUNISIE,Composants électroniques.,Zaghouan,(216) - 72 119 200 / 72 673 501
LASI UTN,Composants électroniques.,Sousse,(216) - 73 320 678
L'EBENOID PRODUCTION,Matériel de distribution et commande électrique.,Zaghouan,(216) - 72 676 365
LECTRIC,"Fils, câbles isolés et faisceaux de câbles.",Zaghouan,(216) - 72 670 211 / 58 307 929
LEMAN TUNISIE,Matériels électriques pour moteurs et véhicules.,Jendouba,(216) - 93 595 083
LEONI WIRING SYSTEMS TUNISIA (MATEUR SUD),"Fils, câbles isolés et faisceaux de câbles.",Bizerte,(216) - 31 326 366
LEONI WIRING SYSTEMS TUNISIA (MATEUR),"Fils, câbles isolés et faisceaux de câbles.",Bizerte,(216) - 31 326 240
LEONI WIRING SYSTEMS TUNISIA (M'SAKEN),"Fils, câbles isolés et faisceaux de câbles.",Sousse,(216) - 73 102 000 / 73 323 820
LIGHT PLAST,Appareils électroménagers - Lampes - Appareils d'éclairage.,Tunis,(216) - 97 692 558 / 71 284 038
LM,Appareils d'éclairage.,Ben Arous,(216) - 71 380 421
LNA,Instruments de mesure et de contrôle.,Ariana,(216) - 58 452 040
LUMTEC,Appareils d'éclairage.,Sfax,(216) - 74 270 945
MAD,Matériels électriques pour moteurs et véhicules.,Ben Arous,(216) - 70 026 646
MAGHREB LIGHT,Matériel de distribution et commande électrique - Appareils d'éclairage.,Sfax,(216) - 74 273 601
MASTER MED ELECTRIQUE,Matériel de distribution et commande électrique.,Beja,(216) - 98 621 396
MAT (EL AGBA),Matériels électriques pour moteurs et véhicules.,Tunis,(216) - 31 333 100
MCW,Matériel de distribution et commande électrique.,Ben Arous,(216) - 79 408 922
MED CAVI,"Fils, câbles isolés et faisceaux de câbles.",Zaghouan,(216) - 98 603 244 / 72 662 062
MED LIGHT,Appareils d'éclairage.,Sfax,(216) - 58 368 007 / 74 842 352
MEGALIGHT,"Matériel de distribution et commande électrique - Fils, câbles isolés et faisceaux de câbles.",Ariana,(216) - 71 856 673
MENTOR,Composants électroniques.,Monastir,(216) - 70 286 200 / 73 498 501
METS,"Fils, câbles isolés et faisceaux de câbles.",Sousse,(216) - 31 260 426 / 31 260 423
MGI,Appareils électroménagers.,Sousse,(216) - 71 100 777 / 28 448 448
MICHAUD TUNISIE,Matériel de distribution et commande électrique.,Ben Arous,(216) - 79 408 650
MIMED,Matériel de distribution et commande électrique.,Nabeul,(216) - 98 344 177
MMT (EL AGBA),Matériel de distribution et commande électrique.,Tunis,(216) - 31 333 100
MONTEST,Matériel de distribution et commande électrique.,Beja,(216) - 78 571 811
MSGI TOWERS,Appareils d'éclairage.,Sfax,(216) - 74 841 001
MSPE,"Fils, câbles isolés et faisceaux de câbles.",Monastir,(216) - 73 474 766
MTF INDUSTRIEL,Appareils ménagers non électriques.,Kairouan,(216) - 73 381 853 / 29 944 064
MULTIFLEX,"Matériel de distribution et commande électrique - Fils, câbles isolés et faisceaux de câbles.",Monastir,(216) - 73 422 200 / 73 422 404
N.C.T.,"Moteurs, génératrices et transformateurs électriques.",Ben Arous,(216) - 79 408 594
NEW STAR,Appareils électroménagers.,Ben Arous,(216) - 71 380 104
NEW TUNIRAMA,Composants électroniques.,Tunis,(216) - 71 513 817
NOLAM TUNISIE,Matériel de distribution et commande électrique.,Ben Arous,(216) - 98 748 202 / 98 748 209
NOVAMEL,Matériel de distribution et commande électrique.,Nabeul,(216) - 72 255 949
NOVATECH,Appareils électroménagers.,Zaghouan,(216) - 71 238 700 / 72 640 234
NOVYC TN INC,Instruments de mesure et de contrôle.,Tunis,(216) - 71 931 160
OCEAN INDUSTRIE,Appareils ménagers non électriques.,Ben Arous,(216) - 79 484 111 / 79 484 222
OMNIA COM,Appareils de téléphonie.,Ariana,(216) - 71 857 738
OPTOMADE,Lunettes.,Bizerte,(216) - 72 440 945
OPTY-LAB,Lunettes.,Sfax,(216) - 39 159 558 / 58 333 415
ORION CABLAGE,Matériel de distribution et commande électrique.,Nabeul,(216) - 72 213 960
ORTHO-SERVICES,Matériel médicochirurgical et orthopédie.,Manouba,(216) - 21 448 854 / 71 607 358
PCB,Matériels électriques de signalisation.,Bizerte,(216) - 70 038 508
PEC,"Fils, câbles isolés et faisceaux de câbles.",Zaghouan,(216) - 72 677 910
PECMED,Matériel médicochirurgical et orthopédie.,Zaghouan,(216) - 72 677 910
PEM,Instruments de mesure et de contrôle.,Sousse,(216) - 73 321 929
PHOENIX MECANO ELCOM,Matériel de distribution et commande électrique.,Zaghouan,(216) - 72 640 089
PIBRADIV,,Nabeul,(216) - 90 198 611
PM INDUSTRIES,Matériels électriques pour moteurs et véhicules.,Ben Arous,(216) - 79 398 397
PMDT,"Fils, câbles isolés et faisceaux de câbles - Composants électroniques.",Ben Arous,(216) - 52 408 302
PPC TUNISIA (EX:OPTERNA AFRICA),"Fils, câbles isolés et faisceaux de câbles.",Ben Arous,(216) - 22 009 881
PPGI,Matériel de distribution et commande électrique.,Tunis,(216) - 26 485 555
PROD-ELEC TUNISIE,"Fils, câbles isolés et faisceaux de câbles.",Sousse,(216) - 73 350 336 / 23 234 444
PRYSMIAN CABLES AND SYSTEMS TUNISIA,"Matériel de distribution et commande électrique - Fils, câbles isolés et faisceaux de câbles.",Nabeul,(216) - 28 211 624
PSZ GHEZALA,"Fils, câbles isolés et faisceaux de câbles.",Bizerte,(216) - 52 720 963
PSZ TUNISIE,"Fils, câbles isolés et faisceaux de câbles.",Monastir,(216) - 58 344 838
RAI,"Matériel de distribution et commande électrique - Fils, câbles isolés et faisceaux de câbles - Composants électroniques.",Ariana,(216) - 70 681 955 / 98 134 974
RECO TUNISIE,Composants électroniques.,Nabeul,(216) - 36 107 517 / 20 392 119
REYES TUNISIE,"Matériel de distribution et commande électrique - Fils, câbles isolés et faisceaux de câbles.",Ben Arous,(216) - 79 351 015
RF TECHNOLOGY,"Moteurs, génératrices et transformateurs électriques.",Ariana,(216) - 71 960 944 / 52 634 444
RICOT,Composants électroniques.,Beja,(216) - 78 585 331
ROLCAR TUNISIA,Matériels électriques pour moteurs et véhicules.,Nabeul,(216) - 98 753 152
RR TUNISIE ELECTRONIC,Composants électroniques.,Sousse,(216) - 73 249 991
S.C.L,Appareils d'éclairage.,Ariana,(216) - 70 680 943 / 98 304 270
SACEM INDUSTRIES,"Moteurs, génératrices et transformateurs électriques.",Bizerte,(216) - 71 966 986
SACEMA,Composants électroniques.,Ariana,(216) - 70 680 328
SAFE MEDICAL MFU,Matériel médicochirurgical et orthopédie.,Nabeul,(216) - 23 949 100 / 72 214 374
SAGEMCOM TUNISIE,"Composants électroniques - Appareils de réception, enregistrement ou reproduction du son et de l'image - Instruments de mesure et de contrôle.",Ben Arous,(216) - 31 365 220
SAMELEC (MENZEL BOUZELFA),Composants électroniques.,Nabeul,(216) - 23 252 047
SAMELEC (ZAGHOUAN),"Fils, câbles isolés et faisceaux de câbles.",Zaghouan,(216) - 72 680 122
SAMM TEST AUTOMATION,Instruments de mesure et de contrôle.,Ariana,(216) - 70 721 089 / 70 721 151
SATE,"Fils, câbles isolés et faisceaux de câbles.",Mahdia,(216) - 31 267 303 / 31 267 511
SATS,Matériels électriques pour moteurs et véhicules.,Siliana,(216) - 31 260 414 / 31 266 366
SBA (BENI KHIAR),"Fils, câbles isolés et faisceaux de câbles.",Nabeul,(216) - 20 308 844 / 72 239 450
SBF,Appareils d'éclairage - Composants électroniques.,Sousse,(216) - 73 386 601 / 50 523 521
SBT,Composants électroniques.,Nabeul,(216) - 98 702 325
SCEET,"Fils, câbles isolés et faisceaux de câbles.",Zaghouan,(216) - 58 588 801 / 72 676 761
SCHULTE AUTOMOTIVE TUNISIA,Matériels électriques pour moteurs et véhicules.,Siliana,(216) - 71 842 433 / 78 806 123
SCT,"Fils, câbles isolés et faisceaux de câbles.",Nabeul,(216) - 25 486 000
SCT (MONASTIR),Matériel de distribution et commande électrique.,Monastir,(216) - 73 531 771 / 51 209 029
SDT,"Fils, câbles isolés et faisceaux de câbles.",Nabeul,(216) - 72 224 366 / 29 510 778
SE BORDNETZE EL FEJJA,"Fils, câbles isolés et faisceaux de câbles.",Manouba,(216) - 70 013 600
SEA LATELEC (FOUCHANA),"Matériel de distribution et commande électrique - Fils, câbles isolés et faisceaux de câbles.",Ben Arous,(216) - 70 026 945 / 70 026 946
SEBN TN,"Fils, câbles isolés et faisceaux de câbles.",Jendouba,(216) - 98 371 134
SECCA,Matériel de distribution et commande électrique.,Nabeul,(216) - 96 565 829 / 72 251 090
SELF INDUSTRIES,"Moteurs, génératrices et transformateurs électriques - Réparation de matériels électriques - Matériel de distribution et commande électrique - Fils, câbles isolés et faisceaux de câbles.",Nabeul,(216) - 72 389 600 / 97 525 925
SEM TUNISIA,"Composants électroniques - Appareils de réception, enregistrement ou reproduction du son et de l'image.",Bizerte,(216) - 72 590 200
SEMAR TUNISIA,"Moteurs, génératrices et transformateurs électriques.",Ben Arous,(216) - 79 404 970 / 29 413 357
SEPT,"Moteurs, génératrices et transformateurs électriques - Fils, câbles isolés et faisceaux de câbles.",Nabeul,(216) - 70 018 700
SFPE,Matériel de distribution et commande électrique - Appareils d'éclairage.,Sfax,(216) - 74 649 237
SG MEDTECH,Matériel médicochirurgical et orthopédie.,Ben Arous,(216) - 98 546 171 / 71 409 838
SHULTE AUTOMATIVE TUNISIA,Matériels électriques pour moteurs et véhicules.,Zaghouan,(216) - 98 342 028
SIAM (TESTOUR),Appareils électroménagers.,Beja,(216) - 97 287 187
SIAME,Matériel de distribution et commande électrique - Lampes - Instruments de mesure et de contrôle.,Nabeul,(216) - 31 345 700
SIC,Appareils électroménagers.,Ben Arous,(216) - 31 326 000
SICAD COALA,Appareils électroménagers - Appareils ménagers non électriques.,Sidi Bouzid,(216) - 54 970 822 / 76 622 210
SICAP (RADES),Matériel de distribution et commande électrique.,Ben Arous,(216) - 31 307 171
SIDILEC,"Fils, câbles isolés et faisceaux de câbles.",Sfax,(216) - 74 832 510
SIED COALA,Appareils électroménagers - Appareils ménagers non électriques.,Sidi Bouzid,(216) - 98 417 088
SILVER,Matériel de distribution et commande électrique.,Ariana,(216) - 71 554 153 / 71 554 121
SIMA (BOUARGOUB),"Fils, câbles isolés et faisceaux de câbles.",Sousse,(216) - 98 621 466
SIMEF ELECTRIC,Matériel de distribution et commande électrique.,Ben Arous,(216) - 71 296 331
SIMEG,Appareils d'éclairage.,Sfax,(216) - 74 842 058
SIMEG PLUS,Appareils d'éclairage.,Sfax,(216) - 58 414 800 / 74 842 058
SIMO-TUNISIE,"Moteurs, génératrices et transformateurs électriques.",Bizerte,(216) - 72 495 001
SINES INDUSTRIE,Appareils ménagers non électriques.,Zaghouan,(216) - 70 013 740 / 72 640 485
SIRAIL TUNISIE,"Fils, câbles isolés et faisceaux de câbles.",Ben Arous,(216) - 71 409 241
SIS TUNISIE,Matériel de distribution et commande électrique.,Nabeul,(216) - 98 601 598
SITE,Matériel de distribution et commande électrique.,Nabeul,(216) - 72 210 500
SKY INDUSTRIES,Lampes.,Zaghouan,(216) - 71 120 210
SKYLARK LIGHTING,Lampes.,Nabeul,(216) - 98 752 509 / 36 144 683
SMD MICROPACKAGING,Composants électroniques.,Ben Arous,(216) - 71 295 872
SMEE,Matériel de distribution et commande électrique.,Ariana,(216) - 71 831 482 / 70 694 303
SNA NOUR,Accumulateurs et piles électriques.,Zaghouan,(216) - 71 433 233
SOFTEN,Appareils électroménagers - Appareils ménagers non électriques.,Nabeul,(216) - 72 210 600 / 72 255 548
SOMALEC,"Fils, câbles isolés et faisceaux de câbles - Composants électroniques.",Monastir,(216) - 73 533 189
SOMEF,Matériel de distribution et commande électrique.,Ben Arous,(216) - 71 429 611 / 71 429 612
SORAN SIGNALITIQUE,Appareils d'éclairage.,Ariana,(216) - 71 868 900 / 71 868 921
SOTACER (LA CHARGUIA),Appareils électroménagers.,Tunis,(216) - 71 808 022
