name,activity,governorate,phone,linkedin_url
FBC,Confection de vêtements de travail - Confection de vêtements de dessus - Confection de vêtements de dessous - Confection de vêtements et accessoires.,Monastir,(216) - 73 469 849,https://fj.linkedin.com/company/fiji-broadcasting-corporation-official
FC (TINJA),Industries textiles n.c.a - Fabrication de pull-overs et articles similaires en mailles - Confection de vêtements de dessus.,Bizerte,(216) - 50 677 164,https://in.linkedin.com/company/cinda-engineering-&-construction-private-limited
FERMYL CONFECTION,Confection de vêtements de travail.,Monastir,(216) - 73 412 344,https://fr.linkedin.com/company/always-&-forever-bridal-&-formalwear
FERTEX,Confection de vêtements de dessous.,Kasserine,(216) - 96 277 655,https://ar.linkedin.com/company/fertec-s.r.l
FGC,Confection de vêtements de travail.,Mahdia,(216) - 73 600 075,https://ph.linkedin.com/company/fgcplus
FGCI,Confection de vêtements de travail.,Mahdia,(216) - 98 794 855 / 73 600 150,https://in.linkedin.com/company/creative-synergies-group
FIBRAMAT,Industries textiles n.c.a.,Sousse,,https://in.linkedin.com/company/datatemplate
FIC,Finissage textile.,Bizerte,(216) - 72 456 026 / 72 570 977,https://ba.linkedin.com/company/foreign-investors-council---fic
FIFI-TEX,Confection de vêtements de dessus - Confection de vêtements de dessous.,Tunis,(216) - 98 814 501 / 71 932 659,https://in.linkedin.com/company/fi-money
FILAFIL,Fabrication de linges domestiques divers - Industries textiles n.c.a.,Monastir,(216) - 23 766 430 / 73 414 244,https://in.linkedin.com/company/habibi-falafel
FILATURE ITALIENNE,Moulinage de la soie et texturation des fils artificiels et synthétiques.,Mahdia,(216) - 98 458 729 / 73 620 925,https://it.linkedin.com/company/rotolito
FILIN,Filature du lin - Tissage d'autres textiles.,Ben Arous,(216) - 71 398 408,https://co.linkedin.com/company/filingestiondetalentohumano
FILITALY,Confection de vêtements de dessus.,Monastir,(216) - 55 592 127,https://gt.linkedin.com/company/vitalialimentos
FILTEC,Fabrication de fils à coudre.,Nabeul,(216) - 58 456 506 / 72 385 993,https://au.linkedin.com/company/filtec-ltd
FIMA (MOKNINE),Industries textiles n.c.a.,Monastir,(216) - 73 416 100,https://de.linkedin.com/company/mspe-moknine
FIMCO,Confection de vêtements de dessus.,Monastir,(216) - 73 400 485,https://lk.linkedin.com/company/fimcoestate
FIMCO INTERNATIONAL,Fabrication de pull-overs et articles similaires en mailles - Confection de vêtements de travail - Confection de vêtements de dessus.,Monastir,(216) - 73 400 029,https://www.linkedin.com/company/fidelity-international
FINO,Finissage textile - Industries textiles n.c.a.,Manouba,(216) - 71 928 000,https://co.linkedin.com/company/fino-sas
FINO INTERNATIONAL,Finissage textile - Industries textiles n.c.a.,Manouba,(216) - 71 928 000,https://co.linkedin.com/company/fino-sas
FIORE GROUP UNO,Confection de vêtements de dessus - Confection de vêtements et accessoires.,Nabeul,(216) - 72 348 810 / 72 349 763,https://ca.linkedin.com/company/fiore-mining-consultancy
FIRATEX,Fabrication de pull-overs et articles similaires en mailles - Confection de vêtements de dessus - Confection de vêtements de dessous.,Bizerte,(216) - 72 447 003,https://in.linkedin.com/company/fairtex
FIRST TUNISIAN TEXTILE,Confection de vêtements de dessus.,Sousse,(216) - 58 073 910,https://in.linkedin.com/company/gmc-textiles-tunisia
FLAY IN CONFECTION,Confection de vêtements de dessus.,Sousse,(216) - 98 749 105 / 52 575 536,https://de.linkedin.com/company/cis-confection-id%C3%A9ale-du-sud
FLORITEX EXPORT,Confection de vêtements de dessus - Confection de vêtements de dessous.,Ben Arous,(216) - 58 890 382 / 71 382 957,https://in.linkedin.com/company/shahi-exports-pvt-ltd-
FLYTEX,Confection de vêtements de dessus - Confection de vêtements de dessous.,Manouba,(216) - 70 664 814,https://ae.linkedin.com/company/flytex-lubricants-industry-llc
FOLA CONFECTION,Confection de vêtements de dessus.,Monastir,(216) - 55 252 082,https://sg.linkedin.com/company/kmar-bridal-concepts
FORUM GROUPE,Confection de vêtements de dessous - Confection de vêtements et accessoires.,Monastir,(216) - 73 490 100 / 28 490 102,https://ae.linkedin.com/company/forum-groupuae
FORUM MED,Fabrication de pull-overs et articles similaires en mailles - Confection de vêtements de dessus - Confection de vêtements de dessous - Confection de vêtements et accessoires.,Monastir,(216) - 98 607 634 / 73 489 303,https://de.linkedin.com/company/forum-medizin-gbr
France CONFECTION,Confection de vêtements de dessous - Confection de vêtements et accessoires.,Monastir,(216) - 98 422 051 / 26 678 545,https://www.linkedin.com/company/atelier-france-confection
